emp_id,component_name,component_code,amount
EMP-00001,Shift Allowance,1,7160.19
EMP-00001,Travel Allowance,1,10201.93
EMP-00001,Medical Allowance,1,10623.59
EMP-00001,Professional Tax,2,2406.41
EMP-00001,Income Tax,2,7193.28
EMP-00001,Gratuity Contribution,2,4937.46
EMP-00001,Insurance,2,5967.77
EMP-00002,Travel Allowance,1,2977.16
EMP-00002,Performance Allowance,1,2756.91
EMP-00002,Special Allowance,1,2319.77
EMP-00002,Internet Allowance,1,3520.78
EMP-00002,Transport Allowance,1,7925.41
EMP-00002,Insurance,2,1773.54
EMP-00002,Provident Fund,2,3046.74
EMP-00002,Income Tax,2,2617.49
EMP-00002,Professional Tax,2,5003.56
EMP-00003,Travel Allowance,1,4580.81
EMP-00003,Performance Allowance,1,6460.04
EMP-00003,Meal Allowance,1,1470.95
EMP-00003,Internet Allowance,1,4568.89
EMP-00003,House Rent Allowance,1,1782.08
EMP-00003,Insurance,2,2751.96
EMP-00003,Income Tax,2,3346.29
EMP-00003,Professional Tax,2,2721.87
EMP-00003,Gratuity Contribution,2,2704.44
EMP-00004,Travel Allowance,1,6384.25
EMP-00004,Performance Allowance,1,6092.74
EMP-00004,Medical Allowance,1,8436.61
EMP-00004,Shift Allowance,1,11813.98
EMP-00004,Special Allowance,1,7846.78
EMP-00004,Gratuity Contribution,2,8983.9
EMP-00004,Insurance,2,6779.13
EMP-00004,Professional Tax,2,6792.53
EMP-00005,Medical Allowance,1,2741.22
EMP-00005,Shift Allowance,1,1284.87
EMP-00005,Internet Allowance,1,1885.16
EMP-00005,Performance Allowance,1,1306.12
EMP-00005,Special Allowance,1,2381.33
EMP-00005,Professional Tax,2,285.86
EMP-00005,Gratuity Contribution,2,1819.0
EMP-00005,Insurance,2,916.51
EMP-00006,Special Allowance,1,7394.77
EMP-00006,Performance Allowance,1,3048.21
EMP-00006,Travel Allowance,1,9991.83
EMP-00006,Medical Allowance,1,9857.69
EMP-00006,Remote Work Allowance,1,7569.01
EMP-00006,Income Tax,2,8488.89
EMP-00006,Provident Fund,2,2914.45
EMP-00006,Professional Tax,2,5144.22
EMP-00006,Gratuity Contribution,2,1474.66
EMP-00007,House Rent Allowance,1,4901.77
EMP-00007,Medical Allowance,1,15073.9
EMP-00007,Special Allowance,1,9483.21
EMP-00007,Performance Allowance,1,9072.49
EMP-00007,Gratuity Contribution,2,9829.61
EMP-00007,Insurance,2,6991.51
EMP-00007,Professional Tax,2,4901.95
EMP-00007,Income Tax,2,7254.33
EMP-00008,Internet Allowance,1,15933.69
EMP-00008,Performance Allowance,1,16257.76
EMP-00008,Remote Work Allowance,1,6271.96
EMP-00008,Income Tax,2,14562.73
EMP-00008,Gratuity Contribution,2,12375.08
EMP-00008,Professional Tax,2,9269.77
EMP-00008,Provident Fund,2,10358.38
EMP-00009,Medical Allowance,1,4003.74
EMP-00009,Special Allowance,1,3555.84
EMP-00009,Shift Allowance,1,4460.92
EMP-00009,Meal Allowance,1,1744.54
EMP-00009,Income Tax,2,951.3
EMP-00009,Gratuity Contribution,2,1048.26
EMP-00009,Professional Tax,2,500.36
EMP-00009,Insurance,2,1914.51
EMP-00010,Performance Allowance,1,1644.41
EMP-00010,Shift Allowance,1,3995.38
EMP-00010,Meal Allowance,1,5252.07
EMP-00010,Gratuity Contribution,2,1886.16
EMP-00010,Insurance,2,2568.55
EMP-00011,Special Allowance,1,1666.9
EMP-00011,Remote Work Allowance,1,576.47
EMP-00011,Transport Allowance,1,2836.26
EMP-00011,Meal Allowance,1,2062.42
EMP-00011,Insurance,2,1920.52
EMP-00011,Gratuity Contribution,2,1802.3
EMP-00012,Shift Allowance,1,4774.87
EMP-00012,House Rent Allowance,1,9356.48
EMP-00012,Internet Allowance,1,7315.99
EMP-00012,Special Allowance,1,6118.07
EMP-00012,Income Tax,2,5131.52
EMP-00012,Professional Tax,2,6130.09
EMP-00012,Gratuity Contribution,2,5040.41
EMP-00012,Provident Fund,2,6412.54
EMP-00013,Remote Work Allowance,1,3408.29
EMP-00013,Medical Allowance,1,816.38
EMP-00013,Internet Allowance,1,3271.29
EMP-00013,Performance Allowance,1,3513.35
EMP-00013,Insurance,2,1643.89
EMP-00013,Gratuity Contribution,2,1408.54
EMP-00014,Transport Allowance,1,3981.59
EMP-00014,Internet Allowance,1,2495.09
EMP-00014,Remote Work Allowance,1,2465.7
EMP-00014,Shift Allowance,1,4859.97
EMP-00014,Travel Allowance,1,2602.8
EMP-00014,Insurance,2,1983.83
EMP-00014,Gratuity Contribution,2,1976.13
EMP-00015,Special Allowance,1,3305.06
EMP-00015,Remote Work Allowance,1,13253.81
EMP-00015,Travel Allowance,1,8923.39
EMP-00015,Transport Allowance,1,1932.05
EMP-00015,Professional Tax,2,8082.13
EMP-00015,Income Tax,2,3301.11
EMP-00016,Medical Allowance,1,5355.39
EMP-00016,House Rent Allowance,1,4344.81
EMP-00016,Special Allowance,1,2432.43
EMP-00016,Performance Allowance,1,6245.32
EMP-00016,Internet Allowance,1,1866.35
EMP-00016,Insurance,2,4067.72
EMP-00016,Gratuity Contribution,2,1877.17
EMP-00016,Income Tax,2,5041.72
EMP-00017,Meal Allowance,1,57298.45
EMP-00017,Special Allowance,1,45657.23
EMP-00017,Remote Work Allowance,1,50684.12
EMP-00017,Internet Allowance,1,91810.59
EMP-00017,House Rent Allowance,1,38410.76
EMP-00017,Transport Allowance,1,93144.77
EMP-00017,Professional Tax,2,42338.05
EMP-00017,Income Tax,2,49545.95
EMP-00017,Gratuity Contribution,2,9621.91
EMP-00017,Insurance,2,39553.66
EMP-00018,Meal Allowance,1,2201.72
EMP-00018,House Rent Allowance,1,10146.82
EMP-00018,Transport Allowance,1,2980.3
EMP-00018,Shift Allowance,1,8778.41
EMP-00018,Medical Allowance,1,4835.09
EMP-00018,Travel Allowance,1,2669.85
EMP-00018,Provident Fund,2,3870.41
EMP-00018,Income Tax,2,6867.77
EMP-00018,Insurance,2,5830.35
EMP-00019,Meal Allowance,1,9506.66
EMP-00019,House Rent Allowance,1,25697.57
EMP-00019,Internet Allowance,1,13134.66
EMP-00019,Performance Allowance,1,18690.16
EMP-00019,Provident Fund,2,2473.42
EMP-00019,Income Tax,2,22387.54
EMP-00020,Transport Allowance,1,5357.51
EMP-00020,Travel Allowance,1,20534.87
EMP-00020,Special Allowance,1,4437.37
EMP-00020,Medical Allowance,1,17081.89
EMP-00020,Provident Fund,2,13074.26
EMP-00020,Insurance,2,7024.18
EMP-00020,Income Tax,2,3128.05
EMP-00020,Professional Tax,2,6239.3
EMP-00021,Remote Work Allowance,1,8401.18
EMP-00021,House Rent Allowance,1,11544.68
EMP-00021,Performance Allowance,1,8383.48
EMP-00021,Internet Allowance,1,8612.77
EMP-00021,Professional Tax,2,3616.78
EMP-00021,Insurance,2,3690.27
EMP-00022,Travel Allowance,1,17609.23
EMP-00022,House Rent Allowance,1,13812.3
EMP-00022,Performance Allowance,1,8865.65
EMP-00022,Medical Allowance,1,9507.32
EMP-00022,Remote Work Allowance,1,15557.11
EMP-00022,Insurance,2,4380.72
EMP-00022,Provident Fund,2,2378.5
EMP-00022,Income Tax,2,1536.6
EMP-00023,Performance Allowance,1,9446.84
EMP-00023,Shift Allowance,1,9741.57
EMP-00023,Medical Allowance,1,9158.86
EMP-00023,Professional Tax,2,22564.38
EMP-00023,Provident Fund,2,4775.36
EMP-00024,Internet Allowance,1,4648.79
EMP-00024,Special Allowance,1,1797.49
EMP-00024,Transport Allowance,1,818.01
EMP-00024,Medical Allowance,1,3418.87
EMP-00024,Gratuity Contribution,2,3142.89
EMP-00024,Insurance,2,1683.73
EMP-00024,Income Tax,2,1316.22
EMP-00024,Provident Fund,2,1494.11
EMP-00025,Travel Allowance,1,1782.84
EMP-00025,Meal Allowance,1,9858.46
EMP-00025,Performance Allowance,1,4458.05
EMP-00025,Medical Allowance,1,4162.91
EMP-00025,Professional Tax,2,4626.39
EMP-00025,Income Tax,2,2448.48
EMP-00025,Provident Fund,2,7011.79
EMP-00025,Insurance,2,3533.05
EMP-00026,House Rent Allowance,1,6371.22
EMP-00026,Performance Allowance,1,3421.31
EMP-00026,Travel Allowance,1,6439.94
EMP-00026,Meal Allowance,1,6006.04
EMP-00026,Medical Allowance,1,2570.89
EMP-00026,Shift Allowance,1,5234.15
EMP-00026,Gratuity Contribution,2,4317.93
EMP-00026,Professional Tax,2,3889.27
EMP-00027,Remote Work Allowance,1,3949.61
EMP-00027,Shift Allowance,1,4605.66
EMP-00027,Performance Allowance,1,4595.88
EMP-00027,Professional Tax,2,3344.2
EMP-00027,Provident Fund,2,3884.77
EMP-00027,Income Tax,2,2447.66
EMP-00028,Special Allowance,1,15931.22
EMP-00028,Medical Allowance,1,15712.25
EMP-00028,Transport Allowance,1,14669.55
EMP-00028,Provident Fund,2,13248.33
EMP-00028,Insurance,2,11065.6
EMP-00028,Income Tax,2,6162.87
EMP-00028,Gratuity Contribution,2,9497.61
EMP-00029,House Rent Allowance,1,28096.31
EMP-00029,Meal Allowance,1,20817.28
EMP-00029,Travel Allowance,1,16241.77
EMP-00029,Remote Work Allowance,1,13354.78
EMP-00029,Gratuity Contribution,2,11793.28
EMP-00029,Income Tax,2,18855.63
EMP-00029,Professional Tax,2,6373.69
EMP-00030,Medical Allowance,1,2301.38
EMP-00030,Performance Allowance,1,3420.2
EMP-00030,Remote Work Allowance,1,4774.53
EMP-00030,Gratuity Contribution,2,4585.04
EMP-00030,Provident Fund,2,3191.92
EMP-00030,Income Tax,2,2719.66
EMP-00031,Shift Allowance,1,30691.38
EMP-00031,Travel Allowance,1,39223.06
EMP-00031,Remote Work Allowance,1,48391.24
EMP-00031,Transport Allowance,1,45974.75
EMP-00031,Medical Allowance,1,38222.32
EMP-00031,Meal Allowance,1,13974.34
EMP-00031,Insurance,2,19941.07
EMP-00031,Gratuity Contribution,2,19197.08
EMP-00031,Provident Fund,2,22065.21
EMP-00032,Remote Work Allowance,1,1134.45
EMP-00032,Travel Allowance,1,4488.73
EMP-00032,Meal Allowance,1,3166.8
EMP-00032,Internet Allowance,1,1173.07
EMP-00032,House Rent Allowance,1,5202.81
